consequence_class,var_type,length_bin,n,dv_concordant,dv_discordant,fv_concordant,fv_discordant,dv_upper95
intron_variant&splice_polypyrimidine_tract_variant,ins,+11..50,49,49,0,49,0,7.25e-02
NMD_transcript_variant&intron_variant&splice_donor_region_variant,ins,+1,47,47,0,42,5,7.55e-02
3_prime_UTR_variant&splice_region_variant,snv,0,47,47,0,47,0,7.55e-02
intron_variant&splice_donor_5th_base_variant,del,-3,46,46,0,16,30,7.71e-02
frameshift_variant&stop_gained,del,-2,46,46,0,0,46,7.71e-02
3_prime_UTR_variant,ins,+2,45,45,0,44,1,7.87e-02
coding_sequence_variant&splice_donor_variant,del,-4..10,45,45,0,8,37,7.87e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,del,-2,45,45,0,42,3,7.87e-02
NMD_transcript_variant&inframe_insertion,ins,+3,45,45,0,45,0,7.87e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,mnv,0,44,44,0,12,32,8.04e-02
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-11..50,43,43,0,19,24,8.22e-02
NMD_transcript_variant&protein_altering_variant&stop_gained,ins,+11..50,42,42,0,0,42,8.41e-02
upstream_gene_variant,ins,+>50,42,42,0,42,0,8.41e-02
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+3,42,42,0,42,0,8.41e-02
NMD_transcript_variant&frameshift_variant,ins,+11..50,41,41,0,41,0,8.60e-02
non_coding_transcript_variant&splice_acceptor_variant,del,-1,41,41,0,41,0,8.60e-02
3_prime_UTR_variant&NMD_transcript_variant&splice_region_variant,del,-3,40,40,0,33,7,8.81e-02
protein_altering_variant,del,-4..10,40,40,0,0,40,8.81e-02
non_coding_transcript_exon_variant,ins,+>50,39,39,0,39,0,9.03e-02
NMD_transcript_variant&frameshift_variant&splice_region_variant,ins,+1,39,39,0,39,0,9.03e-02
intron_variant&splice_donor_5th_base_variant,del,-2,39,39,0,35,4,9.03e-02
intron_variant&non_coding_transcript_variant&splice_polypyrimidine_tract_variant,ins,+2,38,38,0,38,0,9.25e-02
NMD_transcript_variant&frameshift_variant&stop_gained,ins,+1,38,38,0,0,38,9.25e-02
protein_altering_variant,del,-3,37,37,0,0,37,9.49e-02
coding_sequence_variant&intron_variant&splice_acceptor_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,36,36,0,0,36,9.74e-02
3_prime_UTR_variant,ins,+>50,36,36,0,36,0,9.74e-02
NMD_transcript_variant&intron_variant&splice_region_variant,del,-4..10,36,36,0,25,11,9.74e-02
NMD_transcript_variant&intron_variant&splice_region_variant,del,-2,36,36,0,6,30,9.74e-02
intron_variant,ins,+>50,35,35,0,35,0,1.00e-01
5_prime_UTR_variant&splice_region_variant&start_lost,del,-4..10,35,35,0,0,35,1.00e-01
missense_variant&splice_region_variant,mnv,0,34,34,0,30,4,1.03e-01
3_prime_UTR_variant&NMD_transcript_variant&splice_acceptor_variant,del,-4..10,34,34,0,29,5,1.03e-01
NMD_transcript_variant&coding_sequence_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,->50,34,34,0,0,34,1.03e-01
intron_variant&splice_polypyrimidine_tract_variant&splice_region_variant,ins,+11..50,34,34,0,34,0,1.03e-01
3_prime_UTR_variant,ins,+11..50,34,34,0,34,0,1.03e-01
NMD_transcript_variant&intron_variant&splice_polypyrimidine_tract_variant,ins,+2,32,32,0,32,0,1.09e-01
NMD_transcript_variant&stop_retained_variant,snv,0,32,32,0,32,0,1.09e-01
3_prime_UTR_variant&NMD_transcript_variant&intron_variant&splice_donor_5th_base_variant&splice_donor_variant,del,-4..10,31,31,0,0,31,1.12e-01
